 [DEBUG] 2019-03-01 12:39:36,797 [89] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:39:36,806 [78] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:39:36,807 [78] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:39:37,689 [78] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:39:37,690 [78] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:42:41,285 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:41,287 [86] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:42:45,768 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:45,778 [89] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:45,779 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:42:46,628 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:42:46,629 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:42:49,482 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:49,494 [88] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:49,528 [88] MAuthAPI.Controllers.AuthorizationController - AuthorizeMemOrTrans - Entered into AuthorizeMemOrTrans
 [DEBUG] 2019-03-01 12:42:53,000 [77] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:53,013 [88] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:53,014 [88] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:42:53,843 [88] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:42:53,844 [88] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:42:58,161 [72] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:58,168 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:42:58,169 [86] MAuthAPI.Controllers.AuthorizationController - AuthorizeMemOrTrans - Entered into AuthorizeMemOrTrans
 [DEBUG] 2019-03-01 12:43:01,217 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:43:01,227 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:43:01,228 [86] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:43:02,060 [86] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:43:02,061 [86] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:44:24,384 [88] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:44:24,392 [77] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:44:27,309 [77] MAuthAPI.Controllers.AuthorizationController - AuthorizeMemOrTrans - Entered into AuthorizeMemOrTrans
 [DEBUG] 2019-03-01 13:01:40,079 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:01:40,113 [64] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:01:40,113 [66] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:01:40,113 [62] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:01:40,115 [66] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 13:02:02,121 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:02:02,130 [77] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:02:02,130 [77] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 13:02:02,955 [77] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 13:02:02,957 [77] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
